
--- [2026-04-17 23:26:50.915577] Gmail Fetch (20 emails) ---
Subject: Keep learning from the best in tech & business | From: Maven | Snippet: See why 100k+ professionals from Meta, Apple, and more have taken Maven courses. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏
Subject: Pay fees | From: Aakash Prajapati | Snippet: Pay fees
Subject: Pending fees | From: Aakash Prajapati | Snippet: Pay your 600 rs fees
Subject: teting email | From: Aakash Prajapati | Snippet: hello world
Subject: New jobs posted from www.jobs.global.fujitsu.com | From: fujitsulimp2-jobnotification@noreply50.jobs2web.com | Snippet: You are receiving this email because you joined the FUJITSU LIMITED Talent Community on 1/16/26. You will receive these messages every Apprentices, Interns, Industrial Placements Pune, MH, IND day(s).
Subject: Justine posted in Agnel Toastmasters, Vashi | From: Meetup | Snippet: Justine started a discussion in Agnel Toastmasters, Vashi. Justine Justine what&#39;s the purpose to join the group View discussion Unsubscribe from these type of emails. Manage your Email Notificatio
Subject: 1 new cafe vacancy in navi mumbai, maharashtra | From: Indeed | Snippet: AND Cafe has an opportunity for you! ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
Subject: Prashant Shirke, Urgent Requirement for the role of Intern | From: Naukri Campus Jobs | Snippet: Artificial Intelligence Intern naukri.com Get App Your weekend opportunities are right here! Artificial Intelligence Intern Biz Technologies 1.7 6 months duration Internship Machine Learning Intern
Subject: Your Registration QR – ITM SummerHacks '26 | From: "ITM SummerHacks '26" | Snippet: NIVANTH nivanth.com EVENT OPS PLATFORM ITM SummerHacks &#39;26 YOU&#39;RE CONFIRMED. Registration successful. Present your QR at entry. No screenshots. Original only. → SCAN AT ENTRY ← Registered As
Subject: Shipping: Kimi Batch API (40% cheaper) | From: Kimi | Snippet: We&#39;ve added a new option for your high-volume, non-urgent tasks. ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌
Subject: Free AI Credits Exclusive for You | From: noreply@mg.nivanth.com | Snippet: NIVANTH nivanth.com Free AI Credits 3a91c023-fba3-47da-b4f8-d0561efca176 by ai grants india As a registered participant, you&#39;ve unlocked free AI credits from our sponsor — AI GRANTS INDIA Hey
Subject: [GitHub] A fine-grained personal access token has been added to your account | From: GitHub | Snippet: @prashantshirk, a personal access token was created on your account. Hey prashantshirk! A fine-grained personal access token (gemini) was recently added to your account. View your token Your security
Subject: LeetCode Weekly Digest | From: LeetCode | Snippet: Hi LeetCoder! LeetCode is making it easier than ever to practice on the go with the Mobile App experience. Whether you&#39;re squeezing in a quick problem during a break or staying consistent with
Subject: ⏰ Mumbai AI x OpenClaw Meetup #️⃣1️⃣ is starting tomorrow | From: Nishant Desai | Snippet: Nishant Desai Mumbai AI x OpenClaw Meetup #️⃣1️⃣ is starting tomorrow APR 18 Saturday, April 18 2:15 PM - 5:30 PM GMT+5:30 ITM Institute of Design and Media ↗ Mumbai, Maharashtra View Event My Ticket
Subject: ⏰ SummerHacks '26 is starting in 1 hour | From: Prem Thatikonda | Snippet: Prem Thatikonda SummerHacks &#39;26 is starting in 1 hour APR 17 Friday, April 17 2:00 PM - Apr 18, 6:00 PM GMT+5:30 ITM Business School - MBA College in Kharghar Navi Mumbai ↗ Panvel, Maharashtra Vie
Subject: prashant, you’re officially a Forward learner | From: Forward Learners | Snippet: Everything is ready. Log in to begin. Dear prashant, Unique ID: 2182367E1 Congratulations! You&#39;ve been accepted into the McKinsey.org Forward program, and we&#39;ve set everything up so you can
Subject: 📣 New group suggestion: Mumbai Outdoor Meetup Group | From: Meetup | Snippet: A new community is waiting for you ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
Subject: Update for Mumbai AI x OpenClaw Meetup #️⃣1️⃣ | From: Nishant Desai | Snippet: Mumbai AI x OpenClaw Meetup #️⃣1️⃣ was updated APR 18 Saturday, April 18 2:15 PM - 5:30 PM GMT+5:30 ITM Institute of Design and Media ↗ Mumbai, Maharashtra The following information has been updated:
Subject: You are invited to Bitcoin 102: Understanding Bitcoin from First Principles | From: BitcoinWaale By Getbit | Snippet: Hi, We&#39;re back with the next session in our Bitcoin learning series: Bitcoin 102: Understanding… BitcoinWaale By Getbit You&#39;re invited to Bitcoin 102: Understanding Bitcoin from First
Subject: Your Personalized Developer News from NVIDIA | From: NVIDIA Developer Relations | Snippet: Read the latest tutorials and news curated for you. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 

--- [2026-04-17 23:27:03.182781] Gmail Fetch (20 emails) ---
Subject: Keep learning from the best in tech & business | From: Maven | Snippet: See why 100k+ professionals from Meta, Apple, and more have taken Maven courses. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏
Subject: Pay fees | From: Aakash Prajapati | Snippet: Pay fees
Subject: Pending fees | From: Aakash Prajapati | Snippet: Pay your 600 rs fees
Subject: teting email | From: Aakash Prajapati | Snippet: hello world
Subject: New jobs posted from www.jobs.global.fujitsu.com | From: fujitsulimp2-jobnotification@noreply50.jobs2web.com | Snippet: You are receiving this email because you joined the FUJITSU LIMITED Talent Community on 1/16/26. You will receive these messages every Apprentices, Interns, Industrial Placements Pune, MH, IND day(s).
Subject: Justine posted in Agnel Toastmasters, Vashi | From: Meetup | Snippet: Justine started a discussion in Agnel Toastmasters, Vashi. Justine Justine what&#39;s the purpose to join the group View discussion Unsubscribe from these type of emails. Manage your Email Notificatio
Subject: 1 new cafe vacancy in navi mumbai, maharashtra | From: Indeed | Snippet: AND Cafe has an opportunity for you! ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
Subject: Prashant Shirke, Urgent Requirement for the role of Intern | From: Naukri Campus Jobs | Snippet: Artificial Intelligence Intern naukri.com Get App Your weekend opportunities are right here! Artificial Intelligence Intern Biz Technologies 1.7 6 months duration Internship Machine Learning Intern
Subject: Your Registration QR – ITM SummerHacks '26 | From: "ITM SummerHacks '26" | Snippet: NIVANTH nivanth.com EVENT OPS PLATFORM ITM SummerHacks &#39;26 YOU&#39;RE CONFIRMED. Registration successful. Present your QR at entry. No screenshots. Original only. → SCAN AT ENTRY ← Registered As
Subject: Shipping: Kimi Batch API (40% cheaper) | From: Kimi | Snippet: We&#39;ve added a new option for your high-volume, non-urgent tasks. ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌ ͏ ‌
Subject: Free AI Credits Exclusive for You | From: noreply@mg.nivanth.com | Snippet: NIVANTH nivanth.com Free AI Credits 3a91c023-fba3-47da-b4f8-d0561efca176 by ai grants india As a registered participant, you&#39;ve unlocked free AI credits from our sponsor — AI GRANTS INDIA Hey
Subject: [GitHub] A fine-grained personal access token has been added to your account | From: GitHub | Snippet: @prashantshirk, a personal access token was created on your account. Hey prashantshirk! A fine-grained personal access token (gemini) was recently added to your account. View your token Your security
Subject: LeetCode Weekly Digest | From: LeetCode | Snippet: Hi LeetCoder! LeetCode is making it easier than ever to practice on the go with the Mobile App experience. Whether you&#39;re squeezing in a quick problem during a break or staying consistent with
Subject: ⏰ Mumbai AI x OpenClaw Meetup #️⃣1️⃣ is starting tomorrow | From: Nishant Desai | Snippet: Nishant Desai Mumbai AI x OpenClaw Meetup #️⃣1️⃣ is starting tomorrow APR 18 Saturday, April 18 2:15 PM - 5:30 PM GMT+5:30 ITM Institute of Design and Media ↗ Mumbai, Maharashtra View Event My Ticket
Subject: ⏰ SummerHacks '26 is starting in 1 hour | From: Prem Thatikonda | Snippet: Prem Thatikonda SummerHacks &#39;26 is starting in 1 hour APR 17 Friday, April 17 2:00 PM - Apr 18, 6:00 PM GMT+5:30 ITM Business School - MBA College in Kharghar Navi Mumbai ↗ Panvel, Maharashtra Vie
Subject: prashant, you’re officially a Forward learner | From: Forward Learners | Snippet: Everything is ready. Log in to begin. Dear prashant, Unique ID: 2182367E1 Congratulations! You&#39;ve been accepted into the McKinsey.org Forward program, and we&#39;ve set everything up so you can
Subject: 📣 New group suggestion: Mumbai Outdoor Meetup Group | From: Meetup | Snippet: A new community is waiting for you ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
Subject: Update for Mumbai AI x OpenClaw Meetup #️⃣1️⃣ | From: Nishant Desai | Snippet: Mumbai AI x OpenClaw Meetup #️⃣1️⃣ was updated APR 18 Saturday, April 18 2:15 PM - 5:30 PM GMT+5:30 ITM Institute of Design and Media ↗ Mumbai, Maharashtra The following information has been updated:
Subject: You are invited to Bitcoin 102: Understanding Bitcoin from First Principles | From: BitcoinWaale By Getbit | Snippet: Hi, We&#39;re back with the next session in our Bitcoin learning series: Bitcoin 102: Understanding… BitcoinWaale By Getbit You&#39;re invited to Bitcoin 102: Understanding Bitcoin from First
Subject: Your Personalized Developer News from NVIDIA | From: NVIDIA Developer Relations | Snippet: Read the latest tutorials and news curated for you. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ 

--- [2026-04-17 23:27:31.762686] Gmail Fetch (20 emails) ---
Subject: Keep learning from the best in tech & business | From: Maven | Snippet: See why 100k+ professionals from Meta, Apple, and more have taken Maven courses. ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏
Subject: Pay fees | From: Aakash Prajapati | Snippet: Pay fees
Subject: Pending fees | From: Aakash Prajapati | Snippet: Pay your 600 rs fees
Subject: teting email | From: Aakash Prajapati | Snippet: hello world
Subject: New jobs posted from www.jobs.global.fujitsu.com | From: fujitsulimp2-jobnotification@noreply50.jobs2web.com | Snippet: You are receiving this email because you joined the FUJITSU LIMITED Talent Community on 1/16/26. You will receive these messages every Apprentices, Interns, Industrial Placements Pune, MH, IND day(s).
Subject: Justine posted in Agnel Toastmasters, Vashi | From: Meetup | Snippet: Justine started a discussion in Agnel Toastmasters, Vashi. Justine Justine what&#39;s the purpose to join the group View discussion Unsubscribe from these type of emails. Manage your Email Notificatio
Subject: 1 new cafe vacancy in navi mumbai, maharashtra | From: Indeed | Snippet: AND Cafe has an opportunity for you! ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
Subject: Prashant Shirke, Urgent Requirement for the role of Intern | From: Naukri Campus Jobs | Snippet: Artificial Intelligence Intern naukri.com Get App Your weekend opportunities are right here! Artificial Intelligence Intern Biz Technologies 1.7 6 months duration Internship Machine Learning Intern
